0.6271,0.0676,4.1311,0.2751,1.107684,,
0.8599,0.2956,3.4002,0.4654,1.862792,,
0.8599,0.0688,3.5834,0.2269,1.474027,,
1.1091,0.2214,4.2695,0.325,3.358238,,
0.7489,0.0638,3.5744,0.2182,1.081496,,
0.9479,0.2332,3.5558,0.3095,2.036045,,
0.8571,0.1169,3.8843,0.2638,1.487768,,
0.712,0.0677,4.3538,0.211,1.052638,,
0.907,0.151,3.5477,0.2417,1.760197,,
1.0859,0.0726,2.3067,0.1306,4.260696,,
0.758,0.0837,3.6467,0.1563,1.133636,,
0.8791,0.0832,3.5683,0.1627,1.585491,,
0.758,0.0731,3.6356,0.2414,1.113385,,
0.679,0.0771,3.6077,0.2416,1.069507,,
1.1891,0.1373,3.9723,0.2722,6.002571,,
0.862,0.0655,3.529,0.2332,1.48602,,
0.497,0.0639,3.6916,0.2408,1.463434,,
0.627,0.0576,4.2427,0.2361,1.099308,,
0.8377,0.1462,3.4589,0.5468,1.456824,,
0.7961,0.0818,3.6601,0.2313,1.217465,,
0.8171,0.0599,3.1032,0.1895,1.264264,,
1.048,0.1136,3.2325,0.2269,3.235256,,
0.682,0.0679,4.0655,0.247,1.052417,,
0.8119,0.0577,3.7533,0.2251,1.242033,,
0.5709,0.0655,3.783,0.2065,1.225587,,
0.972,0.089,3.367,0.2235,2.359269,,
0.933,0.0951,3.4804,0.3493,1.965915,,
0.656,0.0535,3.7931,0.2342,1.052496,,
0.5771,0.0636,3.4614,0.2287,1.209075,,
0.696,0.043,4.0815,0.2308,1.009684,,
0.9329,0.0572,3.4846,0.2182,2.032008,,
0.8301,0.0832,4.3443,0.4585,1.337761,,
0.9231,0.0668,3.36,0.2866,1.925879,,
0.8299,0.1003,4.5369,0.2899,1.357197,,
0.7231,0.0477,4.043,0.2705,1.024364,,
0.754,0.0679,2.2678,0.138,1.097168,,
0.1969,0.0563,3.6239,0.2483,5.462204,,
0.3191,0.0647,3.5343,0.2457,2.974884,,
0.0399,0.0131,3.1488,0.3428,10.000334,,
1.2006,0.0662,4.1622,0.1726,7.418546,,
0.7731,0.155,3.7654,0.294,1.317794,,
0.9611,0.1714,4.7974,0.7225,2.092483,,
0.8161,0.1392,3.9589,0.71,1.377941,,
0.6019,0.0984,2.397,0.1639,1.184819,,
0.5459,0.0525,3.1598,0.1735,1.294824,,
0.7232,0.0553,1.2977,0.0873,1.037024,,
0.6011,0.0948,2.7777,0.1945,1.181548,,
0.6489,0.0717,4.0168,0.2178,1.083058,,
